"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 12- 28","866.57","860.42","866.57","856.53","1.25B","0.79%"
"2023- 12- 27","859.79","851.49","860.29","851.21","1.22B","1.35%"
"2023- 12- 26","848.34","855.75","857.24","846.32","1.08B","-0.73%"
"2023- 12- 22","854.62","863.35","864.79","853.49","1.21B","-0.56%"
"2023- 12- 21","859.44","855.76","867.33","851.82","1.15B","-0.41%"
"2023- 12- 20","862.98","861.96","865.02","860.56","1.12B","0.55%"
"2023- 12- 19","858.30","850.36","858.65","849.33","1.07B","0.86%"
"2023- 12- 18","850.96","844.78","854.07","843.61","802.09M","1.51%"
"2023- 12- 15","838.31","844.76","846.70","834.94","1.08B","-0.27%"
"2023- 12- 14","840.59","841.75","845.54","834.66","1.04B","1.36%"
"2023- 12- 13","829.31","837.55","838.25","828.72","1.07B","-1.22%"
"2023- 12- 12","839.53","835.41","842.56","833.67","1.22B","0.51%"
"2023- 12- 11","835.25","831.83","839.15","831.64","930.37M","0.59%"
"2023- 12- 08","830.37","818.71","830.99","818.50","862.26M","2.11%"
"2023- 12- 07","813.20","820.46","820.46","810.90","794.86M","-0.77%"
"2023- 12- 06","819.54","816.66","822.39","814.00","882.76M","0.76%"
"2023- 12- 05","813.38","823.86","828.25","810.52","1.06B","-1.83%"
"2023- 12- 04","828.52","828.66","837.95","823.99","1.01B","0.15%"
"2023- 12- 01","827.24","826.30","831.03","822.03","997.87M","-0.53%"
"2023- 11- 30","831.68","819.23","831.68","819.23","774.89M","1.12%"
"2023- 11- 29","822.44","817.90","823.81","812.95","916.37M","0.73%"
"2023- 11- 28","816.44","811.76","816.62","811.06","933.90M","0.76%"
"2023- 11- 27","810.25","816.55","816.60","809.26","794.00M","-0.58%"
"2023- 11- 24","815.00","817.02","818.74","814.22","741.07M","-0.12%"
"2023- 11- 23","815.98","816.16","819.91","813.25","909.85M","0.17%"
"2023- 11- 22","814.61","811.20","817.28","809.83","842.43M","-0.29%"
"2023- 11- 21","817.01","816.34","819.14","811.24","897.45M","0.48%"
"2023- 11- 20","813.08","797.83","815.27","797.51","786.86M","1.75%"
"2023- 11- 17","799.06","807.61","807.62","795.66","804.59M","-1.49%"
"2023- 11- 16","811.11","809.12","815.82","804.74","905.41M","0.22%"
"2023- 11- 15","809.36","808.68","813.06","805.27","816.59M","1.91%"
"2023- 11- 14","794.19","779.47","794.91","779.47","841.49M","2.55%"
"2023- 11- 13","774.42","796.41","798.15","774.33","998.05M","-1.89%"
"2023- 11- 10","789.31","792.86","794.73","785.45","863.20M","-1.69%"
"2023- 11- 09","802.87","813.89","814.92","797.44","921.92M","-1.00%"
"2023- 11- 08","811.02","821.98","831.45","810.15","884.42M","-1.62%"
"2023- 11- 07","824.37","842.16","847.37","805.81","928.09M","-1.80%"
"2023- 11- 06","839.45","794.49","839.45","793.72","849.33M","7.34%"
"2023- 11- 03","782.05","779.28","782.53","768.38","810.11M","1.19%"
"2023- 11- 02","772.84","753.37","773.39","753.37","794.26M","4.55%"
"2023- 11- 01","739.23","742.98","749.65","737.52","753.92M","0.43%"
"2023- 10- 31","736.10","758.65","759.24","734.20","868.12M","-2.78%"
"2023- 10- 30","757.12","747.24","760.87","744.63","648.82M","1.15%"
"2023- 10- 27","748.49","749.87","760.51","738.92","665.63M","0.62%"
"2023- 10- 26","743.85","751.64","756.43","740.51","839.57M","-3.50%"
"2023- 10- 25","770.84","788.01","788.01","770.84","1.02B","-1.79%"
"2023- 10- 24","784.86","771.03","784.86","750.32","951.76M","2.77%"
"2023- 10- 23","763.69","766.56","774.36","762.51","762.34M","-0.72%"
"2023- 10- 20","769.25","775.81","779.92","759.40","980.56M","-1.89%"
"2023- 10- 19","784.04","796.15","796.36","782.63","878.33M","-3.07%"
"2023- 10- 18","808.89","816.92","820.09","807.45","864.01M","-1.40%"
"2023- 10- 17","820.38","817.47","825.33","817.29","948.11M","1.21%"
"2023- 10- 16","810.54","812.57","813.19","800.62","1.05B","-1.49%"
"2023- 10- 13","822.78","831.21","834.66","817.66","1.06B","-1.52%"
"2023- 10- 12","835.49","822.27","835.79","822.27","1.04B","2.25%"
"2023- 10- 11","817.12","805.03","821.83","805.03","856.19M","2.78%"
"2023- 10- 10","795.00","821.22","823.27","792.91","978.04M","-2.62%"
"2023- 10- 06","816.39","803.88","818.37","803.88","776.64M","1.92%"
"2023- 10- 05","801.02","817.89","820.06","800.36","874.56M","-0.79%"
"2023- 10- 04","807.40","832.30","832.30","806.47","816.99M","-4.00%"
"2023- 09- 27","841.02","823.20","841.97","821.71","844.48M","1.59%"
"2023- 09- 26","827.82","841.80","845.30","827.82","1.12B","-1.35%"
"2023- 09- 25","839.17","856.79","859.04","839.17","869.43M","-2.12%"
"2023- 09- 22","857.35","851.93","860.68","847.56","1.03B","-0.39%"
"2023- 09- 21","860.68","875.52","879.82","859.51","1.05B","-2.50%"
"2023- 09- 20","882.72","883.74","886.65","874.92","1.02B","-0.13%"
"2023- 09- 19","883.89","891.57","894.26","882.42","1.05B","-0.83%"
"2023- 09- 18","891.29","892.18","896.37","889.99","906.67M","-0.86%"
"2023- 09- 15","899.03","900.62","902.40","897.11","941.82M","-0.05%"
"2023- 09- 14","899.47","888.19","899.47","886.46","1.02B","1.90%"
"2023- 09- 13","882.72","895.94","899.80","882.27","1.08B","-1.71%"
"2023- 09- 12","898.04","918.10","918.96","895.96","1.18B","-1.59%"
"2023- 09- 11","912.55","918.43","918.43","907.90","975.19M","-0.18%"
"2023- 09- 08","914.18","908.08","914.18","902.77","1.25B","0.86%"
"2023- 09- 07","906.36","914.63","921.79","902.95","1.28B","-1.26%"
"2023- 09- 06","917.95","923.61","927.28","916.08","1.09B","-0.38%"
"2023- 09- 05","921.48","918.85","922.65","913.02","1.08B","0.25%"
"2023- 09- 04","919.16","918.12","921.63","913.04","1.11B","-0.06%"
"2023- 09- 01","919.74","926.37","928.00","919.74","1.07B","-0.93%"
"2023- 08- 31","928.40","925.57","930.42","923.40","1.28B","0.50%"
"2023- 08- 30","923.81","925.08","926.44","921.05","1.28B","0.83%"
"2023- 08- 29","916.24","911.94","918.39","907.82","1.31B","0.75%"
"2023- 08- 28","909.38","907.53","909.48","901.84","1.07B","1.11%"
"2023- 08- 25","899.38","891.21","902.81","890.08","1.16B","-0.26%"
"2023- 08- 24","901.74","893.46","902.64","892.12","1.28B","2.14%"
"2023- 08- 23","882.87","892.65","892.65","881.40","1.44B","-1.17%"
"2023- 08- 22","893.33","898.40","899.21","889.71","1.23B","0.52%"
"2023- 08- 21","888.71","881.09","894.58","879.80","1.06B","1.30%"
"2023- 08- 18","877.32","878.52","882.08","874.27","1.12B","-0.98%"
"2023- 08- 17","886.04","875.15","887.67","863.32","1.11B","0.88%"
"2023- 08- 16","878.29","893.93","895.42","877.85","1.22B","-2.59%"
"2023- 08- 14","901.68","907.43","908.13","894.08","1.18B","-1.15%"
"2023- 08- 11","912.20","913.97","918.18","908.27","1.39B","0.10%"
"2023- 08- 10","911.29","904.68","912.65","899.01","1.26B","0.25%"
"2023- 08- 09","908.98","891.08","912.94","889.94","1.01B","1.86%"
"2023- 08- 08","892.34","901.76","903.78","889.25","1.15B","-0.65%"
"2023- 08- 07","898.22","913.25","913.25","894.48","1.10B","-2.20%"
"2023- 08- 04","918.43","921.16","922.89","914.30","1.06B","-0.21%"
"2023- 08- 03","920.32","911.28","920.41","897.89","1.15B","1.16%"
"2023- 08- 02","909.76","931.17","940.06","907.87","951.13M","-3.18%"
"2023- 08- 01","939.67","944.71","952.12","926.75","924.07M","0.40%"
"2023- 07- 31","935.97","923.01","938.43","921.39","691.58M","2.43%"
"2023- 07- 28","913.74","880.23","914.60","877.96","677.66M","3.39%"
"2023- 07- 27","883.79","897.44","912.57","878.80","892.73M","-1.87%"
"2023- 07- 26","900.63","945.57","956.40","886.14","1.24B","-4.18%"
"2023- 07- 25","939.96","932.17","945.47","924.31","932.87M","1.08%"
"2023- 07- 24","929.90","934.99","935.55","920.89","966.47M","-0.50%"
"2023- 07- 21","934.58","918.51","937.29","918.19","992.32M","0.32%"
"2023- 07- 20","931.60","918.27","931.79","913.98","978.78M","0.85%"
"2023- 07- 19","923.72","917.51","923.90","910.25","1.02B","1.05%"
"2023- 07- 18","914.14","901.43","914.18","901.12","1.14B","1.76%"
"2023- 07- 17","898.29","894.75","899.44","891.18","1.12B","0.22%"
"2023- 07- 14","896.28","898.17","899.68","890.21","1.06B","0.36%"
"2023- 07- 13","893.07","885.21","895.23","884.33","1.12B","1.50%"
"2023- 07- 12","879.88","878.97","880.53","873.91","1.04B","0.13%"
"2023- 07- 11","878.73","866.55","878.76","865.65","935.39M","2.14%"
"2023- 07- 10","860.35","868.00","870.18","857.35","1.01B","-0.80%"
"2023- 07- 07","867.27","868.08","872.29","861.20","1.04B","-0.37%"
"2023- 07- 06","870.53","889.30","889.77","869.46","1.13B","-2.32%"
"2023- 07- 05","891.18","890.49","895.63","889.23","918.62M","0.13%"
"2023- 07- 04","890.00","890.94","894.70","883.41","972.95M","0.08%"
"2023- 07- 03","889.29","873.91","889.29","873.66","884.08M","2.42%"
"2023- 06- 30","868.24","862.70","869.24","853.68","1.00B","0.75%"
"2023- 06- 29","861.79","868.65","870.75","859.77","1.17B","-0.60%"
"2023- 06- 28","866.97","879.61","880.23","866.70","1.16B","-0.82%"
"2023- 06- 27","874.14","877.88","878.43","867.68","1.22B","-0.61%"
"2023- 06- 26","879.50","874.31","881.24","869.29","1.29B","0.53%"
"2023- 06- 23","874.84","880.37","880.46","872.28","1.29B","-0.18%"
"2023- 06- 22","876.38","870.79","880.12","869.79","1.34B","0.08%"
"2023- 06- 21","875.70","887.26","890.94","875.33","1.22B","-1.21%"
"2023- 06- 20","886.41","886.47","891.00","883.09","1.30B","-0.25%"
"2023- 06- 19","888.61","888.52","889.49","881.14","1.15B","0.07%"
